buf,trail,atrp,look,top,CAGR%,MaxDD%
0.5,1.25,0.06,63,0.4,-0.04,-1.47
0.5,1.25,0.06,63,0.5,-0.04,-1.47
0.5,1.25,0.06,63,0.6,-0.04,-1.47
0.5,1.25,0.06,84,0.4,-0.12,-1.47
0.5,1.25,0.06,84,0.5,-0.04,-1.47
0.5,1.25,0.06,84,0.6,-0.04,-1.47
0.5,1.4,0.03,42,0.4,-0.12,-1.47
0.5,1.4,0.03,42,0.5,-0.12,-1.47
0.5,1.4,0.03,42,0.6,-0.12,-1.47
0.5,1.4,0.03,63,0.4,-0.04,-1.47
0.5,1.4,0.03,63,0.5,-0.04,-1.47
0.5,1.4,0.03,63,0.6,-0.04,-1.47
0.5,1.4,0.03,84,0.4,-0.12,-1.47
0.5,1.4,0.03,84,0.5,-0.04,-1.47
0.5,1.4,0.03,84,0.6,-0.04,-1.47
0.5,1.4,0.04,42,0.4,-0.12,-1.47
0.5,1.4,0.04,42,0.5,-0.12,-1.47
0.5,1.4,0.04,42,0.6,-0.12,-1.47
0.5,1.4,0.04,63,0.4,-0.04,-1.47
0.5,1.4,0.04,63,0.5,-0.04,-1.47
0.5,1.4,0.04,63,0.6,-0.04,-1.47
0.5,1.4,0.04,84,0.4,-0.12,-1.47
0.5,1.4,0.04,84,0.5,-0.04,-1.47
0.5,1.4,0.04,84,0.6,-0.04,-1.47
0.5,1.4,0.05,42,0.4,-0.12,-1.47
0.5,1.4,0.05,42,0.5,-0.12,-1.47
0.5,1.4,0.05,42,0.6,-0.12,-1.47
0.5,1.4,0.05,63,0.4,-0.04,-1.47
0.5,1.4,0.05,63,0.5,-0.04,-1.47
0.5,1.4,0.05,63,0.6,-0.04,-1.47
0.5,1.4,0.05,84,0.4,-0.12,-1.47
0.5,1.4,0.05,84,0.5,-0.04,-1.47
0.5,1.4,0.05,84,0.6,-0.04,-1.47
0.5,1.4,0.06,42,0.4,-0.12,-1.47
0.5,1.4,0.06,42,0.5,-0.12,-1.47
0.5,1.4,0.06,42,0.6,-0.12,-1.47
0.5,1.4,0.06,63,0.4,-0.04,-1.47
0.5,1.4,0.06,63,0.5,-0.04,-1.47
